"Section";"MemType";"broadly";"SuSy";"Size (bytes)";"Quota"
".dlmu0_nc.bss";"DLMU";"RAM";"VMC";"9811";"0.14970"
".default_bss";"DSPR";"RAM";"BSW";"100716";"0.49425"
".CPU0.bss";"DSPR";"RAM";"RPM";"64";"0.00031"
".lmu1_nc.bss";"LMU1";"RAM";"PER";"3680";"0.01404"
".lmu0_nc.bss";"LMU0";"RAM";"SIT";"25252";"0.09633"
".Applpfls0.rodata";"PFlash";"ROM";"PER";"804";"0.00026"
".Applpfls2.user_text";"PFlash";"ROM";"INT";"612";"0.00019"
".Applpfls0.BlockHeader";"PFlash";"ROM";"?";"80";"0.00003"
".lmu0_nc.bss";"LMU0";"RAM";"BSW";"34855";"0.13296"
".Applpfls1.user_rodata";"PFlash";"ROM";"DSM";"440";"0.00014"
".Applpfls1.user_rodata";"PFlash";"ROM";"BSW";"60";"0.00002"
".Applpfls1.user_rodata";"PFlash";"ROM";"EDR";"32";"0.00001"
".Applpfls1.user_text";"PFlash";"ROM";"RPM";"119988";"0.03814"
".Applpfls5.RBSignature";"PFlash";"ROM";"BSW";"1012";"0.00097"
".Applpfls2.user_text";"PFlash";"ROM";"PER";"6796";"0.00216"
".CPU1.data";"DSPR";"RAM";"RPM";"128";"0.00068"
".Applpfls0.user_text";"PFlash";"ROM";"CCD";"762";"0.00024"
".Applpfls0.rodata";"PFlash";"ROM";"FCT";"14116";"0.00449"
".Applpfls1.user_text";"PFlash";"ROM";"VMC";"132030";"0.04197"
